path_id,period_index,simulation_year,period_in_year,equity_log_return,muni_bond_log_return,taxable_bond_log_return
P000051,1,1,1,-0.011547525764358912,0.0063596910612426782,-0.032075978605413447
P000051,2,1,2,0.099711032596192961,0.00071925573154452138,0.022904717071891234
P000051,3,1,3,-0.036229864043853865,-0.0033877330386635762,0.032258602107276602
P000051,4,1,4,-0.062628114035605087,0.01396199281357724,0.016370972869033551
P000051,5,1,5,0.047005960174369754,0.022306504356808254,0.047601579637856162
P000051,6,1,6,0.028981574922037012,0.0036289053192337661,0.021052847282098774
P000051,7,1,7,-0.047445843625295581,0.025318101704507434,0.018653658113215066
P000051,8,1,8,0.053620392359161606,-0.011302208351998466,-0.014305640810386322
P000051,9,1,9,-0.054421945869103538,0.0037888886233092833,0.012404500898573367
P000051,10,1,10,0.0078404556752689203,-0.0042044391071591747,0.0047908475556992514
P000051,11,1,11,-0.022346326238100289,0.015184112711767561,0.038124248940834882
P000051,12,1,12,-0.0023008946826896803,0.01137547238655845,0.018898538037685597
P000051,13,2,1,-0.0916365010437028,-0.0054448317129951462,0.032986865370419505
P000051,14,2,2,-0.084544404796311312,-0.014727565975964474,-0.036900295848588449
P000051,15,2,3,0.025435620255682245,0.012559376786121845,0.01984223751729175
P000051,16,2,4,-0.01471927514927085,0.0021725027660641771,0.0019494898343523914
P000051,17,2,5,-0.0086472812032112323,-0.01203400914450814,-0.0054194042899480266
P000051,18,2,6,-0.026361671244158114,-0.027234403756211556,-0.033221149753233981
P000051,19,2,7,0.089247216548388408,0.014027216651402163,0.02088818801124237
P000051,20,2,8,-0.026361671244158114,-0.027234403756211556,-0.033221149753233981
P000051,21,2,9,-0.011507046074912708,0.0086678450143740093,0.010762563479389087
P000051,22,2,10,-0.034976179472479885,0.0085996052906329723,0.011828219915552829
P000051,23,2,11,0.030921241717415171,-9.3664885061350844e-05,0.00578613717706844
P000051,24,2,12,-0.023859217116832365,0.0080562669359380834,-0.00017198317664757212
P000051,25,3,1,0.018626524737523908,-0.0042838716465301019,-0.00049463463786203477
P000051,26,3,2,0.019859076822786648,0.011154687969343158,0.015029583558916038
P000051,27,3,3,0.0040362549181161,-0.0069404686461629339,-0.015783596181574211
P000051,28,3,4,0.044738279615078369,-0.0031065601553903477,0.021895512662510441
P000051,29,3,5,0.032109047506625465,-0.00094750428981793533,0.015292622141659606
P000051,30,3,6,0.014611856615495356,0.0034426671968104117,0.0062072705604343525
P000051,31,3,7,-0.01508786148768948,0.0049233569092610452,0.0055525806722425131
P000051,32,3,8,0.014399308636400043,0.010089726541765209,0.01213048720569887
P000051,33,3,9,-0.021282598237473138,0.010172360718009976,-0.010868493219994058
P000051,34,3,10,0.053912549425126688,0.027604196151079563,0.0073918275463542571
P000051,35,3,11,0.021277416337998289,0.00089366964804860061,0.0019253612812386578
P000051,36,3,12,0.027021740470062561,0.0029463178993651695,0.0044418857834749303
P000051,37,4,1,0.038742707312664049,0.012064835540254393,0.017919702841735052
P000051,38,4,2,-0.031081289877892715,-0.0053264465011615414,-0.021544736793760677
P000051,39,4,3,0.026697252270804217,0.005721423100684575,0.010940331861222674
P000051,40,4,4,0.014399308636400043,0.010089726541765209,0.01213048720569887
P000051,41,4,5,0.038742707312664049,0.012064835540254393,0.017919702841735052
P000051,42,4,6,-0.017766783128745356,-0.0012939456531997351,-0.0080045331951534848
P000051,43,4,7,0.011798004068729107,0.012348452090521711,0.013205878719542596
P000051,44,4,8,0.02696531453609996,0.0087147894357704203,0.0076255673960723414
P000051,45,4,9,0.0078404556752689203,-0.0042044391071591747,0.0047908475556992514
P000051,46,4,10,-0.0010025910257800419,0.0053139611835142375,0.010702711320038638
P000051,47,4,11,0.11119225801947952,0.016114878983648495,0.037021610842961294
P000051,48,4,12,0.044782095578269843,-0.0079627186167288144,0.011000085509543567
P000051,49,5,1,0.018093584170056243,-0.013139201864269978,-0.00046722457116210592
P000051,50,5,2,0.018093584170056243,-0.013139201864269978,-0.00046722457116210592
P000051,51,5,3,0.023091403170501401,0.00055228133161122628,0.0047387014229709479
P000051,52,5,4,0.11119225801947952,0.016114878983648495,0.037021610842961294
P000051,53,5,5,0.028253855698663344,-0.0071195064717777257,-0.011942785479344131
P000051,54,5,6,-0.026121565769496424,-0.0034223547714722358,-0.01901129222049569
P000051,55,5,7,-0.01930535753531526,-0.0096873641807366795,-0.015403990188245231
P000051,56,5,8,0.023091403170501401,0.00055228133161122628,0.0047387014229709479
P000051,57,5,9,0.015995427828962239,0.0053925477873759675,0.01181808292214459
P000051,58,5,10,0.0034220382343246314,0.0012504360605190001,0.0018016560506763923
P000051,59,5,11,0.047490456706240192,0.032486981868908416,0.017436059366945145
P000051,60,5,12,0.093754275806415599,-0.013865679697515176,0.047320220463436868
P000051,61,6,1,0.071340186879986334,0.0044077830347228897,0.03550783841731775
P000051,62,6,2,-0.043189101040802313,-0.007076324827180791,-0.015189212661132601
P000051,63,6,3,0.0086012112223983195,0.0059291847921993934,-0.022298456527319654
P000051,64,6,4,0.0090506690967071535,0.0045869974887242648,0.014090614884755048
P000051,65,6,5,0.089247216548388408,0.014027216651402163,0.02088818801124237
P000051,66,6,6,-0.0034763411349985063,0.0068061915722426036,0.0011283249247009408
P000051,67,6,7,0.076668396666716099,0.015375575617211368,0.012369670726780857
P000051,68,6,8,0.045807342993898992,0.0067305144595488642,0.0015054256407251998
P000051,69,6,9,-0.037437941461424984,-0.018399447703530747,-0.0046352411334442678
P000051,70,6,10,0.068301167794698969,0.022315775840666241,0.043485229473906095
P000051,71,6,11,0.080070534660802828,0.047307644961128936,0.064360534427260419
P000051,72,6,12,0.062884900346410255,0.0040765320804254657,0.031951784058634303
P000051,73,7,1,-0.026121565769496424,-0.0034223547714722358,-0.01901129222049569
P000051,74,7,2,-0.077241527826308776,-0.0056143231579008912,-0.020704856240064906
P000051,75,7,3,0.0082084181640786902,0.011170356795573433,0.0082854556823797054
P000051,76,7,4,-0.0010025910257800419,0.0053139611835142375,0.010702711320038638
P000051,77,7,5,0.027979083735415244,0.017397149287605274,0.021501995699456877
P000051,78,7,6,-0.017766783128745356,-0.0012939456531997351,-0.0080045331951534848
P000051,79,7,7,0.021277416337998289,0.00089366964804860061,0.0019253612812386578
P000051,80,7,8,-0.083243977696401128,-0.017467264001055582,-0.013001384052710563
P000051,81,7,9,0.030598726809578647,0.022710870791549986,0.010742230450309975
P000051,82,7,10,0.075034622989889943,-0.025492528827662397,-0.0075490698565019443
P000051,83,7,11,0.041582566934351028,0.0075833938909690701,0.010377503881570327
P000051,84,7,12,0.018093584170056243,-0.013139201864269978,-0.00046722457116210592
P000051,85,8,1,0.015402475012361805,-0.0046974548423142082,-0.0013947063589947462
P000051,86,8,2,0.013367419912202028,0.0032455157189996697,-0.0029551135940009132
P000051,87,8,3,0.027429364320123106,-0.0015129376670257599,-0.0005371419392652399
P000051,88,8,4,0.028137830931705743,0.005660097111530149,-0.014890731932246659
P000051,89,8,5,-0.021133449994294118,-0.012294475962016271,-0.032310268202929038
P000051,90,8,6,0.030921241717415171,-9.3664885061350844e-05,0.00578613717706844
P000051,91,8,7,0.0082084181640786902,0.011170356795573433,0.0082854556823797054
P000051,92,8,8,0.014399308636400043,0.010089726541765209,0.01213048720569887
P000051,93,8,9,-0.023062063983126713,0.0054597669797971093,0.024011368414698531
P000051,94,8,10,0.072364475708225129,0.024341294802508351,0.050311122620787074
P000051,95,8,11,-0.044623641212445442,-0.024697332942614558,-0.045302744546161122
P000051,96,8,12,-0.077847441360818337,0.0096854796851930658,0.010854735162194373
P000051,97,9,1,-0.0764441150008901,0.033327502317149538,0.0033975296613224515
P000051,98,9,2,-0.084118271185291249,-0.025487249702436543,-0.0693420383139145
P000051,99,9,3,-0.0038390679867701394,-0.031005346866113115,-0.032705024668900684
P000051,100,9,4,-0.0030910941629853639,0.0034073249758348467,-0.018486227057135984
P000051,101,9,5,0.027429364320123106,-0.0015129376670257599,-0.0005371419392652399
P000051,102,9,6,0.022672117722673413,0.011952461145875226,0.0014936610582418908
P000051,103,9,7,0.049676745897568431,0.036962390545048684,0.024304517834051076
P000051,104,9,8,0.011798004068729107,0.012348452090521711,0.013205878719542596
P000051,105,9,9,0.020173303451097802,0.010263572171942847,0.0059455578008780208
P000051,106,9,10,0.012838157589099453,0.0124624910892015,0.013685603261145651
P000051,107,9,11,0.027021740470062561,0.0029463178993651695,0.0044418857834749303
P000051,108,9,12,0.045807342993898992,0.0067305144595488642,0.0015054256407251998
P000051,109,10,1,0.032782502712182193,0.023791290417116251,0.037762607575873908
P000051,110,10,2,0.0033388919860035671,0.0027637779453231204,-0.0051379356518328478
P000051,111,10,3,0.037008666319054306,-0.00042197033089053093,0.012832773569400047
P000051,112,10,4,0.019997617180212757,-0.0046869701597511693,-0.001234112913590657
P000051,113,10,5,0.0033388919860035671,0.0027637779453231204,-0.0051379356518328478
P000051,114,10,6,0.0069336694679691391,0.0015527515845743523,0.00019928278464220739
P000051,115,10,7,0.014399308636400043,0.010089726541765209,0.01213048720569887
P000051,116,10,8,0.093575899960905762,-0.00036544735668631034,0.0045551132807091221
P000051,117,10,9,0.012838157589099453,0.0124624910892015,0.013685603261145651
P000051,118,10,10,-0.043740695892472203,-0.025857657679889456,-0.036221007581580977
P000051,119,10,11,-0.021282598237473138,0.010172360718009976,-0.010868493219994058
P000051,120,10,12,0.018093584170056243,-0.013139201864269978,-0.00046722457116210592
P000051,121,11,1,0.076668396666716099,0.015375575617211368,0.012369670726780857
P000051,122,11,2,0.0088890007202131471,0.0023679149499686858,-0.0074018789221002024
P000051,123,11,3,0.0093497355259506421,-0.0056421232942680533,-0.0031608794164084131
P000051,124,11,4,0.035339454329232467,0.021931018989315376,0.018598228161412322
P000051,125,11,5,-0.084118271185291249,-0.025487249702436543,-0.0693420383139145
P000051,126,11,6,-0.077847441360818337,0.0096854796851930658,0.010854735162194373
P000051,127,11,7,-0.047196872111097576,-0.0026343237740036329,-0.015632777695438804
P000051,128,11,8,-0.036229864043853865,-0.0033877330386635762,0.032258602107276602
P000051,129,11,9,-0.0764441150008901,0.033327502317149538,0.0033975296613224515
P000051,130,11,10,-0.098448457277427792,0.0082667575342618704,-0.013169382201133395
P000051,131,11,11,0.072364475708225129,0.024341294802508351,0.050311122620787074
P000051,132,11,12,0.12025067727762639,0.022983019036264984,0.027388132589287739
P000051,133,12,1,0.0081729943568098484,0.020481424573122631,0.034237097873854871
P000051,134,12,2,-0.01508786148768948,0.0049233569092610452,0.0055525806722425131
P000051,135,12,3,-0.021133449994294118,-0.012294475962016271,-0.032310268202929038
P000051,136,12,4,-0.0004969353849562097,0.015971524012445393,0.030474127009745722
P000051,137,12,5,-0.14398468113268148,-0.030259905204494508,-0.065198622804613748
P000051,138,12,6,-0.014488925663450836,0.01645610747357118,0.024166276716324653
P000051,139,12,7,0.053620392359161606,-0.011302208351998466,-0.014305640810386322
P000051,140,12,8,0.018019037937141213,-0.0016369802687057344,6.7421767723452319e-05
P000051,141,12,9,0.028981574922037012,0.0036289053192337661,0.021052847282098774
P000051,142,12,10,-0.029508443718989419,-0.0077827647543049494,-0.012366775303548572
P000051,143,12,11,-0.084118271185291249,-0.025487249702436543,-0.0693420383139145
P000051,144,12,12,-0.084544404796311312,-0.014727565975964474,-0.036900295848588449
P000051,145,13,1,-0.098448457277427792,0.0082667575342618704,-0.013169382201133395
P000051,146,13,2,0.090050690153928858,0.017725298281871638,0.045285986485916752
P000051,147,13,3,0.0093497355259506421,-0.0056421232942680533,-0.0031608794164084131
P000051,148,13,4,0.0090506690967071535,0.0045869974887242648,0.014090614884755048
P000051,149,13,5,0.061538660324520045,-0.0085147857416796313,-0.0074806380663110517
P000051,150,13,6,0.080070534660802828,0.047307644961128936,0.064360534427260419
P000051,151,13,7,-0.13080268584867838,-0.034442115976728083,-0.11350904898335434
P000051,152,13,8,0.021731663024891823,0.011368703782826728,0.019438841903484771
P000051,153,13,9,0.021731663024891823,0.011368703782826728,0.019438841903484771
P000051,154,13,10,-0.017766783128745356,-0.0012939456531997351,-0.0080045331951534848
P000051,155,13,11,0.038742707312664049,0.012064835540254393,0.017919702841735052
P000051,156,13,12,-0.027364826785700735,-0.026414788128220401,-0.0049837690041449889
P000051,157,14,1,0.018566662794832656,0.0037624044553892233,-0.020890374860353944
P000051,158,14,2,0.033661077029184305,0.0052586214911940488,0.0043545556536219721
