path_id,period_index,simulation_year,period_in_year,equity_log_return,muni_bond_log_return,taxable_bond_log_return
P000001,1,1,1,0.013289687514038473,0.0066342170276705303,0.015426207224995103
P000001,2,1,2,0.050738052489600616,0.010404570128483392,0.011383275218689981
P000001,3,1,3,-0.012564504610321325,0.00021552455119699943,0.010462698925992164
P000001,4,1,4,-0.033720305509827408,-0.00080176095471529152,-0.016959305863507801
P000001,5,1,5,0.052538366146919202,-0.00048315563135226114,0.0052958980201056605
P000001,6,1,6,0.037008666319054306,-0.00042197033089053093,0.012832773569400047
P000001,7,1,7,-0.002975036688969368,0.013190225723232807,0.023436479830342805
P000001,8,1,8,0.030598726809578647,0.022710870791549986,0.010742230450309975
P000001,9,1,9,0.025435620255682245,0.012559376786121845,0.01984223751729175
P000001,10,1,10,-0.0023008946826896803,0.01137547238655845,0.018898538037685597
P000001,11,1,11,0.012838157589099453,0.0124624910892015,0.013685603261145651
P000001,12,1,12,-0.06308304096319528,-0.023075986156468886,-0.020946206729268724
P000001,13,2,1,0.01564499990252699,0.014741057074833641,0.028868564756183268
P000001,14,2,2,-0.025770510181915895,-0.012571707865755677,-0.024415002514375672
P000001,15,2,3,0.0033388919860035671,0.0027637779453231204,-0.0051379356518328478
P000001,16,2,4,0.053330548537446454,0.03468064675951954,0.021221479436074553
P000001,17,2,5,-0.0095483570039105459,0.024699896296448642,0.034287604360022428
P000001,18,2,6,-0.027364826785700735,-0.026414788128220401,-0.0049837690041449889
P000001,19,2,7,0.073776769927342833,0.0035884022065939547,0.0057196099693594959
P000001,20,2,8,0.05219503673307635,0.014358627144323677,0.030529905318402051
P000001,21,2,9,0.061371740365013583,-0.00064812925322055293,0.0064975372145195109
P000001,22,2,10,0.055366477169037864,-0.0057131155143910206,0.0020618620200556492
P000001,23,2,11,-0.021133449994294118,-0.012294475962016271,-0.032310268202929038
P000001,24,2,12,0.026425268762031884,0.0083441652815032796,0.010381696165474352
P000001,25,3,1,0.015732484726593832,0.011046807804387271,-0.0035917613567040263
P000001,26,3,2,0.020173303451097802,0.010263572171942847,0.0059455578008780208
P000001,27,3,3,0.023091403170501401,0.00055228133161122628,0.0047387014229709479
P000001,28,3,4,0.0034220382343246314,0.0012504360605190001,0.0018016560506763923
P000001,29,3,5,0.088135229363025314,0.0028726807107872787,0.0047076215751542527
P000001,30,3,6,-0.026941863938901633,-0.013473003395271022,-0.027122556831835176
P000001,31,3,7,0.089247216548388408,0.014027216651402163,0.02088818801124237
P000001,32,3,8,0.0004241257044208524,0.0020963723499285436,0.0092685317949952051
P000001,33,3,9,0.025435620255682245,0.012559376786121845,0.01984223751729175
P000001,34,3,10,-0.0095483570039105459,0.024699896296448642,0.034287604360022428
P000001,35,3,11,0.022210838481678152,-0.0076654446589881076,-0.0075878807419353933
P000001,36,3,12,0.01527410139395613,0.012992607429024972,0.026038928192839705
P000001,37,4,1,-0.036149051591463532,-0.0094536164318475002,-0.032967851600475662
P000001,38,4,2,0.053912549425126688,0.027604196151079563,0.0073918275463542571
P000001,39,4,3,0.0044597471908582875,0.01446131677312934,0.018466875014638617
P000001,40,4,4,0.0086012112223983195,0.0059291847921993934,-0.022298456527319654
