path_id,period_index,simulation_year,period_in_year,equity_log_return,muni_bond_log_return,taxable_bond_log_return
P000001,1,1,1,0.10780349466896988,0.06476987541058854,0.10410042946318221
P000001,2,2,1,0.25763258941665823,0.045534355984941932,0.072721283866808761
P000001,3,3,1,0.26665614038685659,0.071222799537914661,0.089216827795596476
P000001,4,4,1,0.093616341616476362,0.064512772458660272,-0.037740543137376736
P000001,5,5,1,-0.08587779685835395,0.056960712194642937,0.035604528438993199
P000001,6,6,1,-0.61517162641343814,-0.033394891764382706,-0.1933016221694186
P000001,7,7,1,-0.15077188884217918,0.03602951187236858,-0.065771832689249354
P000001,8,8,1,0.38085000491235421,0.061442721727109628,0.09869762606700494
P000001,9,9,1,0.14006809589752667,0.047760529762372883,0.01491846296899757
P000001,10,10,1,0.012196344740624365,-0.019596167823650923,-0.072287518391172867
P000001,11,11,1,0.11043871106105474,0.13078064633397801,0.174898040497518
P000001,12,12,1,0.040277926873728997,0.044895273855073192,0.011288772219605558
P000001,13,13,1,0.24576297376856626,-0.025402287383018418,0.031532639177454413
P000001,14,14,1,0.14476104272595602,0.095997317077065603,0.09750618111125231
P000001,15,15,1,-0.12803368000420301,-0.021445376717137421,-0.11590123135930419
P000001,16,16,1,-0.3436761418161236,0.064139199860986373,0.017664982117087114
P000001,17,17,1,0.048876365114784104,0.06555908952423195,0.039687685616629942
P000001,18,18,1,0.25349918604415045,0.084279726482086481,0.30673638799530245
P000001,19,19,1,0.34422342087434599,0.11343306160954292,0.1307459132014368
P000001,20,20,1,0.29546210598908873,-0.11806987912798572,-0.028551602332271386
P000001,21,21,1,0.013684733234696989,0.045540919840207472,0.057954807008400611
P000001,22,22,1,0.16209613169456016,0.045116971556815599,0.057266154334724373
P000001,23,23,1,-0.0048434233583471986,-0.067001826759108596,-0.12533341999369263
P000001,24,24,1,-0.0769837018127566,-0.024176997534613776,-0.036285627779232499
P000001,25,25,1,0.14195481440760682,0.002647702793019846,-0.029298239296420281
P000001,26,26,1,0.088152855931698415,-0.0063609740289534145,0.028142571926598414
P000001,27,27,1,0.069185210518226015,0.011733416056877388,0.0039807809499841085
P000001,28,28,1,-0.0062534398340927666,-0.020196720463195206,0.00032464598713088932
P000001,29,29,1,0.031314436308014226,-0.0040032573161914442,0.034258811620799356
P000001,30,30,1,0.086180259942452597,0.044915632532017469,0.062409370078234883
P000001,31,31,1,0.19778775076463706,0.090824056160269784,0.093047361177443833
P000001,32,32,1,0.19501489873540079,0.057885474333208009,0.16486517481747098
P000001,33,33,1,-0.0064695253233018057,0.12435098171362213,0.18252453143458114
P000001,34,34,1,0.28279822142511346,-0.012303831978104363,0.012539725610331676
P000001,35,35,1,0.18175223575057986,0.0011972634395229775,-0.014772638694117823
P000001,36,36,1,0.26437067282139948,-0.053312454256728259,0.006345871385038393
P000001,37,37,1,-0.61814564556043461,-0.06297333610841882,-0.047298250448052137
P000001,38,38,1,0.098606230914876747,0.08419233250468583,0.10989581382107261
P000001,39,39,1,0.16055812459696517,-0.040289080665098176,0.0061718879733199117
P000001,40,40,1,-0.018081344041394498,0.072313386332714558,0.055115860854131338
P000001,41,41,1,-0.30298633363601324,-0.012689623189782395,-0.11744528296265377
P000001,42,42,1,0.25466803706765972,0.097509432675608743,0.08831502486411491
P000001,43,43,1,0.056037275897543815,-0.0092267695538881256,0.027806942154770198
P000001,44,44,1,-0.088277378713741861,0.03132822227555021,0.21733251658494801
P000001,45,45,1,-0.19545884143705328,0.035177713865869542,0.049081647827911468
P000001,46,46,1,-0.28652165895238202,-0.047826852992407076,-0.11863287425850411
P000001,47,47,1,0.060861526080699058,0.0232924266172434,-0.050981440828304692
P000001,48,48,1,0.059113492268669798,0.0053158166176290322,0.017151147504818276
P000001,49,49,1,-0.11956618205058023,0.023117305732125892,0.032805065945891609
P000001,50,50,1,0.12904535380253535,0.013913336675762444,-0.03625265961998192
P000002,1,1,1,0.2275769285216791,0.11633030748969642,0.094956095848462319
P000002,2,2,1,0.12207256204646377,0.079075019530917778,0.023991776561350875
P000002,3,3,1,-0.0091576863716715806,0.04496532586132318,0.034469893467006241
P000002,4,4,1,0.17334353218756426,0.046588700374130987,0.089094693758260846
P000002,5,5,1,0.26283624200392453,0.13159258544558483,0.21355231492138316
P000002,6,6,1,0.1369762609791354,0.098092317878367474,0.099923188842832467
P000002,7,7,1,0.53057453760812434,0.18767008803610441,0.33306455514253663
P000002,8,8,1,0.29961580703832746,0.07206816659958637,0.038107354482561195
P000002,9,9,1,0.081607809187949076,-0.019393104403529371,-0.065804161400440986
P000002,10,10,1,-0.41808474112947724,-0.014264995529660318,-0.14727874263555485
P000002,11,11,1,0.11224573441235641,0.061193883893969847,0.091679799359680292
P000002,12,12,1,0.23606442134128347,0.014304872986136807,0.010319524139021929
P000002,13,13,1,0.14145956365567303,0.026912589546365773,0.066701285633657292
P000002,14,14,1,-0.059367447322535849,0.024115221945513632,-0.044700961745277823
P000002,15,15,1,0.16236195128030539,-0.028731676519334393,0.0049225555601219995
P000002,16,16,1,-0.10858068880866822,0.01504719649432662,0.0030600730458143488
P000002,17,17,1,0.080713508776248499,0.052971014860911936,0.076198512587474454
P000002,18,18,1,0.0733050264597086,0.10438817726443173,0.18227724654807842
P000002,19,19,1,0.048977048951704294,0.046061004176192633,0.0010376301970964619
P000002,20,20,1,0.0066420682504966244,0.014603128538213994,0.055034441775100529
P000002,21,21,1,0.033444077814690498,-0.02565232538249429,-0.081602833332799829
P000002,22,22,1,0.26945188522175201,-0.056928271988571311,-0.01379372711889193
P000002,23,23,1,-0.031086278259091049,0.09067485831405353,0.129403840600542
P000002,24,24,1,0.2083602727298417,0.14238161168760222,0.19417495402890195
P000002,25,25,1,0.23064781188613637,0.026636570178106389,0.10031726725571977
P000002,26,26,1,0.079673356450689514,0.029448569502537936,0.080496007640477707
P000002,27,27,1,0.05440550078995976,0.034815605032054719,0.052498851193593321
P000002,28,28,1,0.26200453186982697,0.030492172985936428,0.082318111302542185
P000002,29,29,1,0.17839958021642355,-0.0032024934593444243,0.037670037609325746
P000002,30,30,1,0.08570440237851118,-0.062813765488648698,-0.069225017229389785
P000002,31,31,1,0.10304513372515967,0.05616200322156395,0.045601525866821646
P000002,32,32,1,0.10956174145974984,-0.049183444155347367,0.015256174748318863
P000002,33,33,1,0.18275227277734407,0.057459027735715651,0.10133522053957567
P000002,34,34,1,0.096298398148584319,0.010990754339113451,0.0031477955496930221
P000002,35,35,1,0.030830374872601762,0.083761132052420528,0.078805256295420456
P000002,36,36,1,0.16196194113910378,-0.011072421638041341,0.0024598221235923035
P000002,37,37,1,0.097656486515645735,0.096927194743605227,0.090024083788266651
P000002,38,38,1,0.12988167702698172,0.13512181265569723,0.13605785781004176
P000002,39,39,1,-0.16564945249524321,-0.067191638001371956,-0.040368760274983373
P000002,40,40,1,0.14533774912632502,-0.0026720575574952221,-0.02586206439290395
P000002,41,41,1,-0.11980111460336884,-0.0061529691773269946,-0.02359222670250638
P000002,42,42,1,-0.095195818428085222,-0.041625675138984519,0.00029370528551631025
P000002,43,43,1,0.25768465684695574,0.057128372715973263,0.047343144671195603
P000002,44,44,1,0.072461587188144883,0.085391915084930048,0.055522246939366582
P000002,45,45,1,-0.057224306294042293,-0.040498382304569702,-0.060779834386741172
P000002,46,46,1,-0.067821007905853659,-0.051334649612019945,-0.12954739591852515
P000002,47,47,1,-0.20323075236115207,0.018801034471358058,-0.042972452988050414
P000002,48,48,1,0.29445662931778749,0.073967158256533772,0.14992837912674783
P000002,49,49,1,0.094942254125474079,0.026638199014842989,0.042992857558881159
P000002,50,50,1,0.019555658829171652,-0.055141713359891043,-0.038745742823727447
P000003,1,1,1,-0.27741718017975447,0.00011259313993061681,0.058017658995039412
P000003,2,2,1,-0.066504980906780364,0.050543196158603365,0.12955134122354783
P000003,3,3,1,0.22048914557753285,0.11107784243212926,0.13514781575238466
P000003,4,4,1,0.13096949739162733,0.087956464052672878,0.12006796503261175
P000003,5,5,1,0.16019454014136292,0.051198116251128134,0.081089791574612491
P000003,6,6,1,0.28559595192925213,-0.0054736254907261639,0.32012520449249005
P000003,7,7,1,0.21189926845987728,0.075153056045241584,0.09097263360861918
P000003,8,8,1,-0.0074862598291915994,-0.070702603182629886,-0.066813634360192165
P000003,9,9,1,0.032033431382649802,0.113872325878563,0.11240068336805731
P000003,10,10,1,0.019584662146320042,0.036617124123917932,0.17819079532726523
P000003,11,11,1,0.2116894460295744,0.05383422878372901,-0.011070437381589304
P000003,12,12,1,0.23383457024796206,0.068294873983926863,0.07398527446905323
P000003,13,13,1,0.12426773268294156,0.0038017214824543899,0.0044835141907313414
P000003,14,14,1,-0.31274769001196701,0.02405177186762586,-0.015665027100944862
P000003,15,15,1,-0.31617508057314581,-0.039727139708962689,-0.11375185996989767
P000003,16,16,1,0.0054579184944145709,-0.053432975045685893,0.020778670919214814
P000003,17,17,1,0.12392919342761566,0.021283247755246038,-0.017666593748931092
P000003,18,18,1,0.16505585556670876,-0.033801245959366177,-0.049153005872183186
P000003,19,19,1,0.042965900357715192,0.065538792705258864,-0.033317119640619008
P000003,20,20,1,-0.10144463982614083,0.034676157598411805,0.017432234024618687
P000003,21,21,1,0.32500005246768238,0.02025696729160309,0.022744553535690493
P000003,22,22,1,-0.18304116924341285,-0.0016071191037605459,0.074708166038952584
P000003,23,23,1,-0.031149354767051385,-0.0067355882205450968,0.01869675225579126
P000003,24,24,1,0.24375314132338222,0.024305990342957884,0.16305565039647973
P000003,25,25,1,0.40305001736769741,0.052932959916431876,0.15218831309485736
P000003,26,26,1,-0.14230557024253709,-0.060351705233244068,-0.085161565240164272
P000003,27,27,1,-0.0033517904563598044,0.016424993222683426,0.03772574262896633
P000003,28,28,1,-0.78218695601268973,-0.12220728504523315,-0.29440620338866497
P000003,29,29,1,0.056852713101883001,0.060468901377967121,0.051843491606386571
P000003,30,30,1,0.34539216329635947,0.06009702019072094,0.086501280306232609
P000003,31,31,1,0.17852410293925303,0.052934949182902535,0.16541340114949588
P000003,32,32,1,0.18379513145856752,0.075974084282610654,0.22390326543875583
P000003,33,33,1,0.025433605026998318,0.1355117730660913,0.018058228415041455
P000003,34,34,1,-0.090218928692658018,-0.062263712844890406,0.0053293199939945524
P000003,35,35,1,-0.090731069204258663,-0.0054401918476267852,-0.028081760362563379
P000003,36,36,1,0.29303519192531624,0.066284955240424104,0.062070954795410582
P000003,37,37,1,0.12941938600949365,0.14870836899427253,0.18433777886214386
P000003,38,38,1,-0.17443756762159879,0.077738736662997354,0.23476143119045023
P000003,39,39,1,-0.17926866891955084,-0.041432379626956894,-0.10383948157043132
P000003,40,40,1,0.089937350340997479,0.063513781510657452,0.049059733997603772
P000003,41,41,1,0.34748556951655285,0.078236871412363129,0.10006449586527033
P000003,42,42,1,0.37323098874143179,0.0692062756559082,0.11786183579105369
P000003,43,43,1,-0.2953424612155966,0.0082858105000811477,-0.10399259149864148
P000003,44,44,1,-0.072636674452089434,0.021299902205639931,0.0057934890077935286
P000003,45,45,1,0.17470023526427525,0.042280283563497001,0.005683492017554137
P000003,46,46,1,0.073631627523264687,0.031073591717303728,0.028453312005283671
P000003,47,47,1,0.42231399537103531,0.028672745500034402,0.08893191113002219
P000003,48,48,1,-0.1509077937653962,0.046405119516419902,0.054461824612753063
P000003,49,49,1,0.29715732979766374,0.053283439686397038,0.064752811787670339
P000003,50,50,1,0.44058259198105487,-0.010707434356417522,0.064545043871067964
P000004,1,1,1,0.0967180438634756,0.11581017610283517,0.066927301856301469
P000004,2,2,1,0.36032674911260276,0.020211171645260428,0.032730604869680047
P000004,3,3,1,-0.04390587415016789,0.033748501066256154,0.020890883590661602
P000004,4,4,1,-0.34580455512998443,0.0016411844214259119,-0.14300128740193374
P000004,5,5,1,0.36170875371611189,0.082256335586885498,0.12186462666268572
P000004,6,6,1,0.12332526547558453,-0.025579811882304959,0.03212343350967295
P000004,7,7,1,0.0086264552735686451,0.031257621536983748,-0.034216415800178535
P000004,8,8,1,0.66197494271714996,0.17016862575451608,0.29935595299149442
