path_id,period_index,simulation_year,period_in_year,equity_log_return,muni_bond_log_return,taxable_bond_log_return
P000051,44,44,1,0.17336975694220724,0.053999581720283629,0.034876927674812652
P000051,45,45,1,0.2178500680857729,0.062388613490675482,0.075049249682090924
P000051,46,46,1,0.073319222123366945,-0.0080350672813764845,0.0049977753531900149
P000051,47,47,1,0.14435154945016659,0.041970268258221033,0.014325830089184866
P000051,48,48,1,-0.0058474843627669415,0.056511804043950065,0.052484187358623924
P000051,49,49,1,0.11782715617233475,0.11356007372170573,0.11681987293602569
P000051,50,50,1,0.046601460808256778,0.016783057366883014,0.071115760066011724
P000052,1,1,1,0.30807684493618925,0.12178280943240249,0.18439965763397925
P000052,2,2,1,0.086860543311583882,0.011935237125244136,0.020132631911785825
P000052,3,3,1,0.2281629022541205,0.060494828926538347,0.048042247487908973
P000052,4,4,1,0.26761304182674372,0.11392246513380311,0.12724685570058725
P000052,5,5,1,-0.1432504851643297,0.023835862172456146,-0.017930097656196686
P000052,6,6,1,0.17899967868803079,0.066441859151818328,0.12211417762197829
P000052,7,7,1,0.11513493529746777,0.042271666820486331,-8.6900374986598194e-05
P000052,8,8,1,0.24288660195708989,0.024871284773658964,0.080999281444820159
P000052,9,9,1,0.065571008463723768,0.056784907075282831,0.098889386599894102
P000052,10,10,1,-0.38139998888393123,0.023676963553477037,0.016924375735025254
P000052,11,11,1,-0.0077219836592958835,0.021428221781913059,0.030434276638626745
P000052,12,12,1,-0.16248774462433779,-0.011218235716417446,-0.043005405826233023
P000052,13,13,1,0.0098642258823380402,0.031149958288443358,0.01833042665191309
P000052,14,14,1,0.055424193205356964,-0.0044840646113719629,0.035964948017425336
P000052,15,15,1,0.13514662741324468,0.034360647969831071,0.15171639653487157
P000052,16,16,1,-0.049864129738710794,-0.0088596196472536803,0.012126237957991393
P000052,17,17,1,-0.017449645212395559,-0.038785611820195243,-0.023104524526326387
P000052,18,18,1,0.12214076972754784,-0.015948208093981009,0.07281947791786747
P000052,19,19,1,0.12015985610675939,0.033187436820018235,0.014377517207440071
P000052,20,20,1,0.082977882141108239,0.047927890928990635,0.10665774335634559
P000052,21,21,1,0.01475242886885697,0.030192894966392991,0.0020570578750844781
P000052,22,22,1,-0.1828679128076014,-0.06815817290829429,-0.10379854141565303
P000052,23,23,1,-0.044982502838469607,0.010362487436289314,0.034843904890447419
P000052,24,24,1,0.026186272749450179,-0.016346922514475892,-0.0025883404066777693
P000052,25,25,1,0.037205891518050649,0.025077027032575749,0.01756464970080529
P000052,26,26,1,0.0021817097066940683,0.11202522849715546,0.058269302386018573
P000052,27,27,1,0.068989397449438439,-0.057152324389861064,-0.0044317420490411763
P000052,28,28,1,0.16819103505525579,-0.045466481582453255,0.0058661630799328179
P000052,29,29,1,0.14378578440604795,0.013560761682595235,0.015529499476500508
P000052,30,30,1,-0.16271643445343376,-0.0023343243672639957,-0.0497875294382224
P000052,31,31,1,0.17536363927745358,0.033025074916485764,0.016757582359316014
P000052,32,32,1,0.26824201620285359,0.047105488400186246,0.087476125679979866
P000052,33,33,1,-0.13117868994223381,0.0320627288338029,0.019209351684551734
P000052,34,34,1,0.16688794633936954,0.0057335328643288719,0.034769635673256971
P000052,35,35,1,-0.12012709915506248,-0.0052493565332394354,-0.068975915286871636
P000052,36,36,1,0.21633662139556042,0.066530578551799557,0.071374314093531233
P000052,37,37,1,0.14450658532785043,0.050489659529757702,0.023802591274455054
P000052,38,38,1,0.21093152518948655,0.082541933854375138,0.026734593825133768
P000052,39,39,1,0.13813891771586206,0.078386301384683499,0.050217215297106321
P000052,40,40,1,-0.1248248921463162,0.080305277331316205,-0.0026356795716786507
P000052,41,41,1,-0.13354285877828387,-0.013437997271244839,-0.068304436782408384
P000052,42,42,1,-0.073342713893500111,0.0026056219146699533,-0.0032314796014123459
P000052,43,43,1,-0.063044687804166166,-0.036454180655536739,-0.0632157100042674
P000052,44,44,1,0.045733179775508059,0.057576754103831895,0.086644983826705158
P000052,45,45,1,0.25367577237232242,0.06015629133441891,0.078083422438370853
P000052,46,46,1,0.051107734198315047,-0.092636149594071959,-0.069945120990859699
P000052,47,47,1,0.23259213475194418,0.071519862505120102,0.11966307011328947
P000052,48,48,1,-0.041793010365602346,-0.029715611225610061,-0.11644343480068065
P000052,49,49,1,0.11227896134129844,-0.055560514598827382,0.022010915139413001
P000052,50,50,1,0.16829055047192432,0.03588441236290052,0.035223593385826923
P000053,1,1,1,-0.02597051497014613,0.0079590223339041088,0.038153308463621638
P000053,2,2,1,-0.16742202579348575,0.001753373264161695,-0.13328286362147201
P000053,3,3,1,0.2279758086681567,0.048029940526070014,0.063135317768279187
P000053,4,4,1,0.0818329028685163,0.13259850586515842,0.18356329573557151
P000053,5,5,1,-0.014692129892937889,0.046758474936920535,0.037490517552584368
P000053,6,6,1,-0.006832319561655531,0.16591523285342635,0.15608416137156489
P000053,7,7,1,0.26139032844460575,0.046214381162345219,0.19486387065493727
P000053,8,8,1,0.017285674632867565,0.065251808051304927,0.31218576627326566
P000053,9,9,1,0.10263980317578225,0.034627036980920956,0.1598155124009959
P000053,10,10,1,-0.011790462231302534,0.025449471816245683,0.00030672317705704444
P000053,11,11,1,0.32541641441654789,0.028416140631751574,0.082542530431429117
P000053,12,12,1,0.092398337655731577,0.12381527731038933,0.081930533369088732
P000053,13,13,1,0.32688294894187564,0.032207116434896044,0.051552029269913646
P000053,14,14,1,-0.46763594644292672,0.029928287221059335,-0.01824881380440857
P000053,15,15,1,-0.011196849127051323,-0.050259244632971267,-0.050187067455570222
P000053,16,16,1,-0.10719166958066007,-0.058748097291423385,-0.078404948336856961
P000053,17,17,1,-0.091580379615891161,0.025897711110100197,0.015718385235181209
P000053,18,18,1,0.18468134453697216,-0.015803019915834327,-0.0024863755476154381
P000053,19,19,1,0.055779629639599371,-0.010934103333369194,-0.06045433877630435
P000053,20,20,1,-0.15436431125072181,-0.024069102783167651,-0.062708273899667599
P000053,21,21,1,0.20002638231843983,0.05466651882880047,0.047988784772957871
P000053,22,22,1,-0.11530278318814924,0.11707454040904164,-0.022690123824152586
P000053,23,23,1,0.2126556593071145,0.12098763705956639,0.26753306715188296
P000053,24,24,1,-0.0062387988592988997,0.033813191608390802,0.011420319262571255
P000053,25,25,1,-0.30544072652438281,0.02553664797012889,-0.083482843922595418
P000053,26,26,1,-0.043718507315680277,0.034941235295484319,0.032635734850913423
P000053,27,27,1,0.065995239894215629,0.010546799994908262,0.012543017274836199
P000053,28,28,1,-0.074651282241515737,-0.011351384575513102,-0.087196322438012785
P000053,29,29,1,-0.015665631461720508,0.12899000448031028,0.13553924058848921
P000053,30,30,1,-0.10966713804326078,-0.011325933377518638,0.031460050252337002
P000053,31,31,1,0.095202767277461575,0.045292396039308791,0.013984028959089567
P000053,32,32,1,0.26072649162624817,0.072663967181264333,0.051502155376183634
P000053,33,33,1,0.17020416058428145,0.0049467587128093626,0.075853873354469137
P000053,34,34,1,-0.061158472329468694,0.011430165206064657,0.034464211961373614
P000053,35,35,1,6.6786832544796226e-05,0.053512195114950423,0.063389399661414103
P000053,36,36,1,0.14249299321863163,0.0078634192552593518,-0.01467735124739189
P000053,37,37,1,0.38424708505054594,-0.054346365204694713,0.016898562485250679
P000053,38,38,1,0.046705170654185668,0.02177229488357213,0.080316850418068242
P000053,39,39,1,0.22067313360655527,0.003807084328760979,0.03821161613934887
P000053,40,40,1,-0.015738255867056239,0.10660311067476425,0.038413617291875646
P000053,41,41,1,0.092730106944479473,0.040806571325926022,0.1340594193148501
P000053,42,42,1,0.022665724121260222,-0.010821932715170846,-0.040824909006855314
P000053,43,43,1,0.14758241328503319,0.010124995470175868,0.023621406961916946
P000053,44,44,1,0.34792359420680441,0.054797485395691403,0.1394223184854102
P000053,45,45,1,0.14763992417869343,0.0058205314057477864,0.01007418216100131
P000053,46,46,1,0.13571971296074725,0.086842723786248577,0.092255466869812786
P000053,47,47,1,-0.015542024623927286,0.048068799950731211,0.049147299701608915
P000053,48,48,1,-0.035123266561754019,0.057264855535827053,0.21455823312878453
P000053,49,49,1,-0.11019857758033691,-0.076508898837681194,-0.10592222231366133
P000053,50,50,1,-0.087496193768525021,0.057039449440290824,0.082529893104314578
P000054,1,1,1,0.043939259569759859,0.056725157569651685,0.051356975629968549
P000054,2,2,1,-0.011106030270044531,0.01217776789299041,-0.021358479150167753
